pattern,unit,book
Do I think cruise vacations are interesting or boring?,UNIT 4,Book 7
Do you go on cruise vacations?,UNIT 4,Book 7
Where do people go on cruise vacations?,UNIT 4,Book 7
Would you like to go on a cruise vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think safari vacations are interesting or boring?,UNIT 4,Book 7
Do you go on safari vacations?,UNIT 4,Book 7
Where do people go on safari vacations?,UNIT 4,Book 7
Would you like to go on a safari vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think luxury vacations are interesting or boring?,UNIT 4,Book 7
Do you go on luxury vacations?,UNIT 4,Book 7
Do I think luxury vacations are cheap or expensive?,UNIT 4,Book 7
Would you like to go on a luxury vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think sailing vacations are interesting or boring?,UNIT 4,Book 7
Do you go on sailing vacations?,UNIT 4,Book 7
Where do people go on sailing vacations?,UNIT 4,Book 7
Would you like to go on a sailing vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think spa vacations are interesting or boring?,UNIT 4,Book 7
Do you go on spa vacations?,UNIT 4,Book 7
Do I think spa vacations are cheap or expensive?,UNIT 4,Book 7
Would you like to go on a spa vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think beach vacations are interesting or boring?,UNIT 4,Book 7
Do you go on beach vacations?,UNIT 4,Book 7
Do I think beach vacations are stressful or relaxing?,UNIT 4,Book 7
Would you like to go on a beach vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think shopping vacations are interesting or boring?,UNIT 4,Book 7
Do you go on shopping vacations?,UNIT 4,Book 7
Do I think shopping vacations are stressful or relaxing?,UNIT 4,Book 7
Would you like to go on a shopping vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think winter vacations are interesting or boring?,UNIT 4,Book 7
Do you go on winter vacations?,UNIT 4,Book 7
Do you prefer winter vacations with family or friends?,UNIT 4,Book 7
Where do people go on winter vacations?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What vacation is it?,UNIT 4,Book 7
Do I think sightseeing vacations are cheap or expensive?,UNIT 4,Book 7
Do you go on sightseeing vacations?,UNIT 4,Book 7
Do you prefer sightseeing vacations with family or friends?,UNIT 4,Book 7
Would you like to go on a sightseeing vacation?,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
Do you go on vacation with your family?,UNIT 4,Book 7
Do I think going on vacation with my family is fun or boring?,UNIT 4,Book 7
nan,UNIT 4,Book 7
Do you go on vacation with your friends?,UNIT 4,Book 7
Do I think going on vacation with my friends is fun or boring?,UNIT 4,Book 7
nan,UNIT 4,Book 7
Do you go on vacation alone?,UNIT 4,Book 7
Do I think going on vacation alone is fun or boring?,UNIT 4,Book 7
nan,UNIT 4,Book 7
Do you go on vacation with your pets?,UNIT 4,Book 7
Do I think going on vacation with my family is easy or difficult?,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a log cabin?,UNIT 4,Book 7
Have you ever stayed in a log cabin?,UNIT 4,Book 7
Do I think log cabins are comfortable or uncomfortable?,UNIT 4,Book 7
Where can you see log cabins?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a campsite?,UNIT 4,Book 7
Have you ever stayed in a campsite?,UNIT 4,Book 7
Do I think campsites are expensive or cheap?,UNIT 4,Book 7
Do I think sleeping in campsites is comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a hotel capsule?,UNIT 4,Book 7
Have you ever stayed in a hotel capsule?,UNIT 4,Book 7
Do I think hotel capsules are comfortable or uncomfortable?,UNIT 4,Book 7
Do I think hotel capsules are too small or too big?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a holiday resort?,UNIT 4,Book 7
Have you ever stayed in a holiday resort?,UNIT 4,Book 7
Do I think holiday resorts are comfortable or uncomfortable?,UNIT 4,Book 7
Do I think holiday resorts are expensive or cheap?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a caravan?,UNIT 4,Book 7
Have you ever stayed in a caravan?,UNIT 4,Book 7
Do I think caravans are comfortable or uncomfortable?,UNIT 4,Book 7
Do I think staying in caravans is boring or exciting?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a water bungalow?,UNIT 4,Book 7
Have you ever stayed in a water bungalow?,UNIT 4,Book 7
Do I think staying in water bungalows is boring or exciting?,UNIT 4,Book 7
Do I think water bungalows are expensive or cheap?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a bed and breakfast?,UNIT 4,Book 7
Have you ever stayed in a bed and breakfast?,UNIT 4,Book 7
Do I think bed and breakfasts are expensive or cheap?,UNIT 4,Book 7
Do I think bed and breakfasts are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a budget hotel?,UNIT 4,Book 7
Have you ever stayed in a budget hotel?,UNIT 4,Book 7
Do I think budget hotels are comfortable or uncomfortable?,UNIT 4,Book 7
Do I think budget hotels are expensive or cheap?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a 5-star hotel?,UNIT 4,Book 7
Have you ever stayed in a 5-star hotel?,UNIT 4,Book 7
Do I think 5-star hotels are comfortable or uncomfortable?,UNIT 4,Book 7
Do I think 5-star hotels are expensive or cheap?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a hostel?,UNIT 4,Book 7
Have you ever stayed in a hostel?,UNIT 4,Book 7
Do I think hostels are cheap or expensive?,UNIT 4,Book 7
Do I think hostels are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Have you ever stayed in a villa?,UNIT 4,Book 7
Would you like to stay in a villa?,UNIT 4,Book 7
Do I think villas are cheap or expensive?,UNIT 4,Book 7
Do I think villas are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a motel?,UNIT 4,Book 7
Have you ever stayed in a motel?,UNIT 4,Book 7
Do I think motels are cheap or expensive?,UNIT 4,Book 7
Do I think motels are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in an all-inclusive hotel?,UNIT 4,Book 7
Have you ever stayed in an all-inclusive hotel?,UNIT 4,Book 7
Do I think all-inclusive hotels are cheap or expensive?,UNIT 4,Book 7
Do I think all-inclusive hotels are interesting or boring?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a home on holiday?,UNIT 4,Book 7
Have you stayed in a homestay on holiday?,UNIT 4,Book 7
Do I think homestays are cheap or expensive?,UNIT 4,Book 7
Do I think homestays are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to go on a cruise vacation?,UNIT 4,Book 7
Have you ever stayed on a cruise?,UNIT 4,Book 7
Do I think cruise vacations are interesting or boring?,UNIT 4,Book 7
Do I think cruises are cheap or expensive?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What is it?,UNIT 4,Book 7
Would you like to stay in a hut?,UNIT 4,Book 7
Would you like to stay in a hut?,UNIT 4,Book 7
Have you ever stayed in a hut?,UNIT 4,Book 7
Do I think huts are cheap or expensive?,UNIT 4,Book 7
Do I think huts are comfortable or uncomfortable?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What type of room is it?,UNIT 4,Book 7
Would you like to sleep in a twin room?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What type of room is it?,UNIT 4,Book 7
Would you like to sleep in a twin room?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What type of room is it?,UNIT 4,Book 7
Would you like to sleep in a single room?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What type of room is it?,UNIT 4,Book 7
Would you like to sleep in a room with bunk beds?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What type of view can you see?,UNIT 4,Book 7
What type of view can you see?,UNIT 4,Book 7
Is this a beautiful or an ugly hotel room view?,UNIT 4,Book 7
Is a hotel view important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you prefer to have a hotel room with or without breakfast in the morning?,UNIT 4,Book 7
Is a hotel breakfast important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you prefer a hotel room with or without a balcony?,UNIT 4,Book 7
Do you use the room balcony when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use the jacuzzi when you are on holiday?,UNIT 4,Book 7
Is a jacuzzi important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenities can you see in the picture?,UNIT 4,Book 7
Do you use the minibar when you are on holiday?,UNIT 4,Book 7
Is a hotel mini bar important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What service can you see in the picture?,UNIT 4,Book 7
Do you use hairdresser services when you are on holiday?,UNIT 4,Book 7
Are hairdressing services important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you prefer a hotel with or without a restaurant?,UNIT 4,Book 7
Is a restaurant important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What service can you see in the picture?,UNIT 4,Book 7
Do you use taxi services when you are on holiday?,UNIT 4,Book 7
Are taxi services important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you watch TV when you are on holiday?,UNIT 4,Book 7
Is TV important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use air conditioning when you are on holiday?,UNIT 4,Book 7
Is air conditioning important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use the safe when you are on holiday?,UNIT 4,Book 7
Is a safe important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What service can you see in the picture?,UNIT 4,Book 7
Do you use room service when you are on holiday?,UNIT 4,Book 7
Is room service important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the swimming pool when you are on holiday?,UNIT 4,Book 7
Are swimming pool facilities important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use free Wi-Fi when you are on holiday?,UNIT 4,Book 7
Is free Wi-Fi important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use hotel bar facilities when you are on holiday?,UNIT 4,Book 7
Is a hotel bar important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you buy gifts when you are on holiday?,UNIT 4,Book 7
Is a gift shop important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the hotel lounge when you are on holiday?,UNIT 4,Book 7
Are lounges important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use hotel toiletries when you are in the hotel?,UNIT 4,Book 7
Are free toiletries important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the gym when you are on holiday?,UNIT 4,Book 7
Is a gym important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use car parking facilities when you are on holiday?,UNIT 4,Book 7
Are car parking facilities important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use health spa services when you are on holiday?,UNIT 4,Book 7
Is a health spa important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the money exchange office when you are on holiday?,UNIT 4,Book 7
Is a money exchange facility important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What service can you see in the picture?,UNIT 4,Book 7
Do you use housekeeping services when you are on holiday?,UNIT 4,Book 7
Are housekeeping services important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the conference room when you go on holiday?,UNIT 4,Book 7
Is a conference room facility important or unimportant on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What amenity can you see in the picture?,UNIT 4,Book 7
Do you use disabled access amenities when you are on holiday?,UNIT 4,Book 7
Are disabled access amenities important or unimportant for people on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
"Do you use the reception desk when you are on holiday (to check out, get information, etc.)?",UNIT 4,Book 7
Is a hotel reception important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What service can you see in the picture?,UNIT 4,Book 7
Do you use daycare services when you go on holiday?,UNIT 4,Book 7
Are daycare services important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the playground when you go on holiday?,UNIT 4,Book 7
Is a playground facility important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
What facility can you see in the picture?,UNIT 4,Book 7
Do you use the casino when you are on holiday?,UNIT 4,Book 7
Are casinos important or unimportant when you are on holiday?,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 4,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
What type of school is it?,UNIT 5,Book 7
What type of school is shown in the picture?,UNIT 5,Book 7
What type of school is it?,UNIT 5,Book 7
What type of school is shown in the picture?,UNIT 5,Book 7
What type of school is it?,UNIT 5,Book 7
What type of school is shown in the picture?,UNIT 5,Book 7
What room is this?,UNIT 5,Book 7
Is there a staffroom in your school?,UNIT 5,Book 7
Who can you see in the staffroom?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What room is this?,UNIT 5,Book 7
Whose office is this?,UNIT 5,Book 7
Whose office is this?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Do you have a big or small gym?,UNIT 5,Book 7
Is there a sports hall/gym in your school? Is it big or small?,UNIT 5,Book 7
What lessons do you have in the gym/sports hall?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a library in your school?,UNIT 5,Book 7
Who works in a library?,UNIT 5,Book 7
What can you see in a library?,UNIT 5,Book 7
Do you visit the library often?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there an assembly hall in your school?,UNIT 5,Book 7
Where do you have assembly?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What type of room is it?,UNIT 5,Book 7
Is the food good or bad in the canteen?,UNIT 5,Book 7
Is there a canteen in your school?,UNIT 5,Book 7
Do you eat in the canteen or carry packed lunch?,UNIT 5,Book 7
Do you like to eat in the canteen?,UNIT 5,Book 7
Do you prefer packed lunch or food from the canteen?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is it?,UNIT 5,Book 7
Is there a vending machine in your school?,UNIT 5,Book 7
What can you buy in a vending machine?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is this?,UNIT 5,Book 7
Is there a tuck shop in your school?,UNIT 5,Book 7
What can you buy in the tuck shop?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there after-school care in your school?,UNIT 5,Book 7
What can you do in after-school care?,UNIT 5,Book 7
What can you do in after-school care?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a cloakroom in your school?,UNIT 5,Book 7
What can you see in a cloakroom?,UNIT 5,Book 7
Do you have a new or old cloakroom in your school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a sports field in your school?,UNIT 5,Book 7
What sports do you play in the school field?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is your classroom big or small?,UNIT 5,Book 7
How many pupils are in your classroom?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a playground in your school?,UNIT 5,Book 7
What do children do in the playground?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there an art room in your school?,UNIT 5,Book 7
Do you have art lessons in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a computer lab in your school?,UNIT 5,Book 7
What lessons are there in the computer lab?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a music room in your school?,UNIT 5,Book 7
Do you have music lessons in your school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a swimming pool in your school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Do you have swimming lessons in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a nursery school near your house?,UNIT 5,Book 7
Where did you go to nursery school?,UNIT 5,Book 7
How old are children in nursery school?,UNIT 5,Book 7
Where do you go to primary school?,UNIT 5,Book 7
Is there a primary school near your house?,UNIT 5,Book 7
What is the name of your primary school?,UNIT 5,Book 7
How old are children in primary school?,UNIT 5,Book 7
Is there a secondary school near your house?,UNIT 5,Book 7
Where will you go to secondary school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What school do you go to?,UNIT 5,Book 7
Where do you go to school?,UNIT 5,Book 7
What class are you in?,UNIT 5,Book 7
What time do you start school?,UNIT 5,Book 7
What time do you finish school?,UNIT 5,Book 7
How long are your lessons?,UNIT 5,Book 7
How many pupils are in your classroom?,UNIT 5,Book 7
How long are your school breaks?,UNIT 5,Book 7
Do you have school breaks in school or in the playground?,UNIT 5,Book 7
How do you go to school?,UNIT 5,Book 7
How do you go to school?,UNIT 5,Book 7
How do you go to school?,UNIT 5,Book 7
How do you go to school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Who is he?,UNIT 5,Book 7
Who is she?,UNIT 5,Book 7
What is the name of your headmaster/headmistress?,UNIT 5,Book 7
What is the name of your class teacher?,UNIT 5,Book 7
nan,UNIT 5,Book 7
When is the winter semester and summer term?,UNIT 5,Book 7
Do you prefer the summer term or the winter term?,UNIT 5,Book 7
nan,UNIT 5,Book 7
In what subjects do you get good and bad marks?,UNIT 5,Book 7
Which are good marks and bad marks?,UNIT 5,Book 7
Does the boy have good or bad marks?,UNIT 5,Book 7
Does the boy have good or bad marks?,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is English easy or difficult?,UNIT 5,Book 7
Is English easy or difficult?,UNIT 5,Book 7
Is English useful or useless?,UNIT 5,Book 7
How many English lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is Polish interesting or boring?,UNIT 5,Book 7
Is Polish easy or difficult?,UNIT 5,Book 7
Is Polish useful or useless?,UNIT 5,Book 7
How many Polish lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is art interesting or boring?,UNIT 5,Book 7
Is art easy or difficult?,UNIT 5,Book 7
Is art useful or useless?,UNIT 5,Book 7
How many art lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is geography interesting or boring?,UNIT 5,Book 7
Is geography easy or difficult?,UNIT 5,Book 7
Is geography useful or useless?,UNIT 5,Book 7
How many geography lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is history interesting or boring?,UNIT 5,Book 7
Is history easy or difficult?,UNIT 5,Book 7
Is history useful or useless?,UNIT 5,Book 7
How many history lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is IT interesting or boring?,UNIT 5,Book 7
Is IT easy or difficult?,UNIT 5,Book 7
Is IT useful or useless?,UNIT 5,Book 7
How many IT lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is maths interesting or boring?,UNIT 5,Book 7
Is maths easy or difficult?,UNIT 5,Book 7
Is maths useful or useless?,UNIT 5,Book 7
How many maths lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is music interesting or boring?,UNIT 5,Book 7
Is music easy or difficult?,UNIT 5,Book 7
Is music useful or useless?,UNIT 5,Book 7
How many music lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is PE interesting or boring?,UNIT 5,Book 7
Is PE easy or difficult?,UNIT 5,Book 7
Is PE useful or useless?,UNIT 5,Book 7
How many PE lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
"Do you love, hate, or can't stand biology?",UNIT 5,Book 7
Who is your biology teacher?,UNIT 5,Book 7
Is biology easy or difficult?,UNIT 5,Book 7
Do you have biology in school?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is chemistry interesting or boring?,UNIT 5,Book 7
Is chemistry easy or difficult?,UNIT 5,Book 7
Do you have chemistry experiments in school?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is physics easy or difficult?,UNIT 5,Book 7
Is physics interesting or boring?,UNIT 5,Book 7
Is physics useful or useless?,UNIT 5,Book 7
Do you have physics experiments in school?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Is German easy or difficult?,UNIT 5,Book 7
Is German interesting or boring?,UNIT 5,Book 7
Is German useful or useless?,UNIT 5,Book 7
Do you have German in school?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Do you have religion in school?,UNIT 5,Book 7
How many religion lessons do you have a week?,UNIT 5,Book 7
What subject is this?,UNIT 5,Book 7
Do you have technology in school?,UNIT 5,Book 7
Is technology useful or useless?,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there an after-school club in your school?,UNIT 5,Book 7
Are you a member of the chess club?,UNIT 5,Book 7
Are you interested in chess?,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a drama club in your school?,UNIT 5,Book 7
Are you a member of the drama club?,UNIT 5,Book 7
Would you like to join the drama club?,UNIT 5,Book 7
Are you interested in drama?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a first aid club in your school?,UNIT 5,Book 7
Are you a member of the first aid club?,UNIT 5,Book 7
Would you like to join the first aid club?,UNIT 5,Book 7
Are you interested in first aid?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a travel club in your school?,UNIT 5,Book 7
Are you a member of the travel club?,UNIT 5,Book 7
Would you like to join the travel club?,UNIT 5,Book 7
Are you interested in travelling?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a photography club in your school?,UNIT 5,Book 7
Are you a member of the photography club?,UNIT 5,Book 7
Would you like to join the photography club?,UNIT 5,Book 7
Are you interested in photography?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a volunteering club in your school?,UNIT 5,Book 7
Are you a member of the volunteering club?,UNIT 5,Book 7
Would you like to join the volunteering club?,UNIT 5,Book 7
Are you interested in volunteering?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a dance club in your school?,UNIT 5,Book 7
Are you a member of the dance club?,UNIT 5,Book 7
Would you like to join the dance club?,UNIT 5,Book 7
Are you interested in dancing?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is there a school band in your school?,UNIT 5,Book 7
Are you a member of the school band club?,UNIT 5,Book 7
Would you like to join the school band club?,UNIT 5,Book 7
What are the students doing?,UNIT 5,Book 7
Should you raise your hand in class?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What are they wearing?,UNIT 5,Book 7
Do you have to bring a PE kit?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What are the boys doing?,UNIT 5,Book 7
Can you fight in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is the boy wearing clean or dirty shoes?,UNIT 5,Book 7
Must you change shoes in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What are they doing?,UNIT 5,Book 7
Should you scream in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is he doing?,UNIT 5,Book 7
Do you have to use phones in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is the boy doing?,UNIT 5,Book 7
Can you sleep during class?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is he doing?,UNIT 5,Book 7
Must you copy in school?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is the woman doing?,UNIT 5,Book 7
Should you eat in class?,UNIT 5,Book 7
nan,UNIT 5,Book 7
What is she doing?,UNIT 5,Book 7
Do you have to go to school?,UNIT 5,Book 7
What does this video represent?,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
nan,UNIT 5,Book 7
Is chemistry useful or useless?,UNIT 5,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
What currency is this?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Where is the pound from?,UNIT 6,Book 7
What currency is this?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Where is the dollar from?,UNIT 6,Book 7
What currency is this?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Where is the euro from?,UNIT 6,Book 7
What currency is this?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Where is the yen from?,UNIT 6,Book 7
Where is the yuan from?,UNIT 6,Book 7
What currency is this?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Where is the zloty from?,UNIT 6,Book 7
What does this video teach?,UNIT 6,Book 7
nan,UNIT 6,Book 7
nan,UNIT 6,Book 7
What can you see?,UNIT 6,Book 7
What are they?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
nan,UNIT 6,Book 7
What are banknotes made of?,UNIT 6,Book 7
What is a coin made of?,UNIT 6,Book 7
Do you have a banknote collection?,UNIT 6,Book 7
Do you have a coin collection?,UNIT 6,Book 7
Where are the coins from?,UNIT 6,Book 7
Where are the coins from?,UNIT 6,Book 7
Where are the coins from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the coin from?,UNIT 6,Book 7
Where is the banknote from?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
What is it?,UNIT 6,Book 7
Do you have a wallet or a purse?,UNIT 6,Book 7
Do you use a wallet or a purse?,UNIT 6,Book 7
What is in the purse?,UNIT 6,Book 7
What is the wallet/purse made of?,UNIT 6,Book 7
